⇢ Launching: python train_model.py --data-dir /home/sbk29/data/AR/train --epochs 50 --vars TMQ --label-dir /home/sbk29/data/github_AR/AR_detection/u_net/ds_results
Epoch 00 | train 4.5346 | val 3.5730 | val-Dice 0.1010
Epoch 01 | train 3.0666 | val 2.3271 | val-Dice 0.1166
Epoch 02 | train 1.9414 | val 1.6269 | val-Dice 0.1292
Epoch 03 | train 1.7486 | val 1.6208 | val-Dice 0.1375
Epoch 04 | train 1.5979 | val 1.7586 | val-Dice 0.1500
Epoch 05 | train 1.4358 | val 1.2643 | val-Dice 0.1593
Epoch 06 | train 1.2841 | val 1.1322 | val-Dice 0.1556
Epoch 07 | train 1.1499 | val 1.0454 | val-Dice 0.1590
Epoch 08 | train 1.0710 | val 0.9395 | val-Dice 0.1629
Epoch 09 | train 0.9599 | val 0.9440 | val-Dice 0.1743
Epoch 10 | train 0.8555 | val 0.7788 | val-Dice 0.1831
Epoch 11 | train 0.7771 | val 0.7290 | val-Dice 0.1883
Epoch 12 | train 0.6941 | val 0.6424 | val-Dice 0.1867
Epoch 13 | train 0.6532 | val 0.6074 | val-Dice 0.1783
Epoch 14 | train 0.6057 | val 0.6811 | val-Dice 0.1675
Epoch 15 | train 0.5735 | val 0.5822 | val-Dice 0.1760
Epoch 16 | train 0.5333 | val 0.5952 | val-Dice 0.1911
Epoch 17 | train 0.5332 | val 0.5035 | val-Dice 0.1901
Epoch 18 | train 0.4910 | val 0.4770 | val-Dice 0.2317
Epoch 19 | train 0.4616 | val 0.4862 | val-Dice 0.2177
Epoch 20 | train 0.4463 | val 0.4628 | val-Dice 0.2292
Epoch 21 | train 0.4276 | val 0.4617 | val-Dice 0.1846
Epoch 22 | train 0.4144 | val 0.4178 | val-Dice 0.2263
Epoch 23 | train 0.3824 | val 0.4582 | val-Dice 0.2231
Epoch 24 | train 0.3851 | val 0.4333 | val-Dice 0.2720
Epoch 25 | train 0.3802 | val 0.4559 | val-Dice 0.2244
Epoch 26 | train 0.3796 | val 0.3917 | val-Dice 0.2797
Epoch 27 | train 0.3726 | val 0.3889 | val-Dice 0.2843
Epoch 28 | train 0.3785 | val 0.3565 | val-Dice 0.2629
Epoch 29 | train 0.3395 | val 0.3777 | val-Dice 0.2634
Epoch 30 | train 0.3379 | val 0.8410 | val-Dice 0.1830
Epoch 31 | train 0.3210 | val 0.3342 | val-Dice 0.2728
Epoch 32 | train 0.3026 | val 0.3989 | val-Dice 0.2210
Epoch 33 | train 0.3187 | val 0.3549 | val-Dice 0.2789
Epoch 34 | train 0.2938 | val 0.3482 | val-Dice 0.2989
Epoch 35 | train 0.2847 | val 0.3729 | val-Dice 0.3103
Epoch 36 | train 0.2744 | val 0.3868 | val-Dice 0.3375
Epoch 37 | train 0.2701 | val 0.3403 | val-Dice 0.3155
Epoch 38 | train 0.2564 | val 0.3499 | val-Dice 0.3168
Epoch 39 | train 0.2565 | val 0.3622 | val-Dice 0.2656
Epoch 40 | train 0.2486 | val 0.3446 | val-Dice 0.3187
Epoch 41 | train 0.2434 | val 0.4306 | val-Dice 0.3604
Epoch 42 | train 0.2290 | val 0.3977 | val-Dice 0.3640
Epoch 43 | train 0.2326 | val 0.3612 | val-Dice 0.3639
Epoch 44 | train 0.2273 | val 0.3449 | val-Dice 0.3122
Epoch 45 | train 0.2173 | val 0.3481 | val-Dice 0.3358
Epoch 46 | train 0.2098 | val 0.3593 | val-Dice 0.3539
Epoch 47 | train 0.2173 | val 0.3405 | val-Dice 0.3452
Epoch 48 | train 0.2035 | val 0.3454 | val-Dice 0.3646
Epoch 49 | train 0.1906 | val 0.3276 | val-Dice 0.3592
